Handle,Title,Pages,Page Width (cm),Page Height (cm),Image
"Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)","Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235 pages)",235,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235).jpg"
"Dickens, Charles, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77)","Dickens, Charles, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77 pages)",77,11.7,16.19,"https://mural-api.onrender.com/static/thumbnails/firstpage/Dickens, Charles, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77).jpg"
"Dickens, Charles, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49)","Dickens, Charles, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49 pages)",49,11.7,16.19,"https://mural-api.onrender.com/static/thumbnails/firstpage/Dickens, Charles, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49).jpg"
"Dickens, Charles, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42)","Dickens, Charles, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42 pages)",42,11.7,16.19,"https://mural-api.onrender.com/static/thumbnails/firstpage/Dickens, Charles, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42).jpg"
"Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57)","Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57 pages)",58,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57).jpg"
"Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82)","Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82 pages)",82,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82).jpg"
"Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87)","Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87 pages)",87,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87).jpg"
"Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169)","Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169 pages)",169,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169).jpg"
"Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60)","Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60 pages)",60,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60).jpg"
"Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116)","Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116 pages)",116,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116).jpg"
"Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75)","Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75 pages)",75,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75).jpg"
"Hardy, Thomas, The Withered Arm, 1896 facsimile (42)","Hardy, Thomas, The Withered Arm, 1896 facsimile (42 pages)",42,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Hardy, Thomas, The Withered Arm, 1896 facsimile (42).jpg"
"Hardy, Thomas, Wessex Tales, 1896 facsimile (297)","Hardy, Thomas, Wessex Tales, 1896 facsimile (297 pages)",297,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Hardy, Thomas, Wessex Tales, 1896 facsimile (297).jpg"
"Johnson, Samuel, Rasselas, 1960 facsimile (125)","Johnson, Samuel, Rasselas, 1960 facsimile (125 pages)",125,11.7,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Johnson, Samuel, Rasselas, 1960 facsimile (125).jpg"
"Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120)","Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120 pages)",120,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120).jpg"
"Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89)","Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89 pages)",89,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89).jpg"
"Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82)","Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82 pages)",82,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82).jpg"
