Author Prefix,Normalized Filename,Shopify URL
"Crane,","Crane,_Stephen_The_Red_Badge_of_Courage_1898_facsimile_235.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Crane_Stephen_The_Red_Badge_of_Courage_1898_facsimile_235.jpg?v=1759984956
"Dickens,","Dickens,_Charles_Four_Stories_Captain_Boldheart_Mrs_Orange_and_Mrs_Lemon_Little_Bebelle_The_Story_of_the_Goblins_who_Stole_a_Sexton_77.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Dickens_Charles_Four_Stories_Captain_Boldheart_Mrs_Orange_and_Mrs_Lemon_Little_Bebelle_The_Story_of_the_Goblins_who_Stole_a_Sexton_77.jpg?v=1759996246
"Dickens,","Dickens,_Charles_Two_Stories_Mugby_Junction_A_Child_s_Dream_of_a_Star_facsimile_42.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Dickens_Charles_Two_Stories_Mugby_Junction_A_Child_s_Dream_of_a_Star_facsimile_42.jpg?v=1759996247
"Dickens,","Dickens,_Charles_Three_Stories_Gone_Astray_William_Tinkling_The_Magic_Fishbone_facsimile_49.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Dickens_Charles_Three_Stories_Gone_Astray_William_Tinkling_The_Magic_Fishbone_facsimile_49.jpg?v=1759996246
"Forster,","Forster,_EM_3_stories_Other_Kingdom_The_Curate_s_Friend_The_Road_from_Colonus_1912_facsimile_82.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Forster_EM_3_stories_Other_Kingdom_The_Curate_s_Friend_The_Road_from_Colonus_1912_facsimile_82.jpg?v=1759984957
"Forster,","Forster,_EM_2_stories_The_Story_of_a_Panic_The_Other_Side_of_the_Hedge_1912_facsimile_57.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Forster_EM_2_stories_The_Story_of_a_Panic_The_Other_Side_of_the_Hedge_1912_facsimile_57.jpg?v=1759984956
"Forster,","Forster,_EM_The_Celestial_Omnibus_Complete_6_stories_1912_facsimile_169.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Forster_EM_The_Celestial_Omnibus_Complete_6_stories_1912_facsimile_169.jpg?v=1759984956
"Forster,","Forster,_EM_3_stories_The_Story_of_a_Panic_The_Other_Side_of_the_Hedge_The_Celestial_Omnibus_1912_facsimile_87.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Forster_EM_3_stories_The_Story_of_a_Panic_The_Other_Side_of_the_Hedge_The_Celestial_Omnibus_1912_facsimile_87.jpg?v=1759984956
"Hardy,","Hardy,_Thomas_2_Wessex_Tales_An_Imaginative_Woman_and_The_Three_Strangers_1896_facsimile_60.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Hardy_Thomas_2_Wessex_Tales_An_Imaginative_Woman_and_The_Three_Strangers_1896_facsimile_60.jpg?v=1759984957
"Hardy,","Hardy,_Thomas_2_Wessex_Tales_The_Withered_Arm_and_The_Distracted_Preacher_1896_facsimile_116.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Hardy_Thomas_2_Wessex_Tales_The_Withered_Arm_and_The_Distracted_Preacher_1896_facsimile_116.jpg?v=1759984957
"Hardy,","Hardy,_Thomas_Wessex_Tales_1896_facsimile_297.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Hardy_Thomas_Wessex_Tales_1896_facsimile_297.jpg?v=1759984956
"Hardy,","Hardy,_Thomas_The_Withered_Arm_1896_facsimile_42.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Hardy_Thomas_The_Withered_Arm_1896_facsimile_42.jpg?v=1759984956
"Hardy,","Hardy,_Thomas_The_Distracted_Preacher_1896_facsimile_75.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Hardy_Thomas_The_Distracted_Preacher_1896_facsimile_75.jpg?v=1759984956
"Johnson,","Johnson,_Samuel_Rasselas_1960_facsimile_125.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Johnson_Samuel_Rasselas_1960_facsimile_125.jpg?v=1759984956
"Joyce,","Joyce,_James_3_stories_from_Dubliners_A_Mother_Grace_The_Dead_1914_facsimile_120.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Joyce_James_3_stories_from_Dubliners_A_Mother_Grace_The_Dead_1914_facsimile_120.jpg?v=1759984956
"Joyce,","Joyce,_James_Dubliners_complete_1914_facsimile_278.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Joyce_James_Dubliners_complete_1914_facsimile_278.jpg?v=1759984956
"Joyce,","Joyce,_James_7_stories_from_Dubliners_The_Sisters_An_Encounter_Araby_Eveline_After_the_Race_Two_Gallants_The_Boarding_House_1914_facsimile_82.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Joyce_James_7_stories_from_Dubliners_The_Sisters_An_Encounter_Araby_Eveline_After_the_Race_Two_Gallants_The_Boarding_House_1914_facsimile_82.jpg?v=1759984956
"Joyce,","Joyce,_James_5_stories_from_Dubliners_A_Little_Cloud_Counterparts_Clay_A_Painful_Case_Ivy_Day_in_the_Committee_Room_1914_facsimile_89.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Joyce_James_5_stories_from_Dubliners_A_Little_Cloud_Counterparts_Clay_A_Painful_Case_Ivy_Day_in_the_Committee_Room_1914_facsimile_89.jpg?v=1759984956
"Mansfield,","Mansfield,_Katherine_Six_stories_from_Bliss_including_title_story_1921_facsimile_124.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Mansfield_Katherine_Six_stories_from_Bliss_including_title_story_1921_facsimile_124.jpg?v=1759984956
"Mansfield,","Mansfield,_Katherine_Prelude_1921_facsimile_77.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Mansfield_Katherine_Prelude_1921_facsimile_77.jpg?v=1759984956
"Mansfield,","Mansfield,_Katherine_Seven_stories_from_Bliss_1921_facsimile_88.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Mansfield_Katherine_Seven_stories_from_Bliss_1921_facsimile_88.jpg?v=1759984956
"Mansfield,","Mansfield,_Katherine_Bliss_and_Other_stories_1921_facsimile_287.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Mansfield_Katherine_Bliss_and_Other_stories_1921_facsimile_287.jpg?v=1759984956
"Poe,","Poe,_EA_The_Oval_Portrait_and_13_More_Stories_including_The_Black_Cat_the_Tell-Tale_Heart_and_the_Pit_and_the_Pendulum_1946_facsimile_161.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Poe_EA_The_Oval_Portrait_and_13_More_Stories_including_The_Black_Cat_the_Tell-Tale_Heart_and_the_Pit_and_the_Pendulum_1946_facsimile_161.jpg?v=1759984957
