Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src,Image Alt Text
"Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)","Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/crane-stephen-the-red-badge-of-courage-1898-facsimile-235.jpg?v=1760530286,"Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235 pages)"
"Dickens, Charles, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77)","Dickens, Charles, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/dickens-charles-four-stories-captain-boldheart-mrs-orange-and-mrs-lemon-little-bebelle-the-story-of-the-goblins-who-stole-a-sexton-77.jpg?v=1760530289,"Dickens, Charles, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77 pages)"
"Dickens, Charles, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49)","Dickens, Charles, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/dickens-charles-three-stories-gone-astray-william-tinkling-the-magic-fishbone-facsimile-49.jpg?v=1760530293,"Dickens, Charles, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49 pages)"
"Dickens, Charles, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42)","Dickens, Charles, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/dickens-charles-two-stories-mugby-junction-a-childs-dream-of-a-star-facsimile-42.jpg?v=1760530297,"Dickens, Charles, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42 pages)"
"Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57)","Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/forster-em-2-stories-the-story-of-a-panic-the-other-side-of-the-hedge-1912-facsimile-57.jpg?v=1760530300,"Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57 pages)"
"Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82)","Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/forster-em-3-stories-other-kingdom-the-curates-friend-the-road-from-colonus-1912-facsimile-82.jpg?v=1760530303,"Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82 pages)"
"Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87)","Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/forster-em-3-stories-the-story-of-a-panic-the-other-side-of-the-hedge-the-celestial-omnibus-1912-facsimile-87.jpg?v=1760530306,"Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87 pages)"
"Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169)","Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/forster-em-the-celestial-omnibus-complete-6-stories-1912-facsimile-169.jpg?v=1760530310,"Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169 pages)"
"Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60)","Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/hardy-thomas-2-wessex-tales-an-imaginative-woman-and-the-three-strangers-1896-facsimile-60.jpg?v=1760530313,"Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60 pages)"
"Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116)","Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/hardy-thomas-2-wessex-tales-the-withered-arm-and-the-distracted-preacher-1896-facsimile-116.jpg?v=1760530316,"Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116 pages)"
