Relative Folder,Original Filename,Original DPI,Original Width (px),Original Height (px),Normalized Filename,Normalized DPI,Normalized Width (px),Normalized Height (px)
.,,,,,,,,
"Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)",Page_001.tif,600.0,2894,4725,Page_001.tif,1,2550,4251
"Dickens, Charles, stories",,,,,,,,
"Forster, EM, stories",,,,,,,,
"Forster, EM, stories\Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57)",Page_001.tif,600.0,3068,4536,Page_001.tif,1,2763,4039
"Forster, EM, stories\Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82)",Page_001.tif,600.0,3068,4536,Page_001.tif,1,2763,4039
"Forster, EM, stories\Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87)",Page_001.tif,600.0,3068,4536,Page_001.tif,1,2763,4039
"Forster, EM, stories\Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169)",Page_001.tif,600.0,3068,4536,Page_001.tif,1,2763,4039
"Hardy, Thomas, Wessex Tales",,,,,,,,
"Hardy, Thomas, Wessex Tales\Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60)",Page_001.tif,600.0,3006,4723,Page_001.tif,1,2550,4251
"Hardy, Thomas, Wessex Tales\Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116)",Page_001.tif,600.0,3006,4723,Page_001.tif,1,2550,4251
"Hardy, Thomas, Wessex Tales\Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75)",Page_001.tif,600.0,3006,4723,Page_001.tif,1,2550,4251
"Hardy, Thomas, Wessex Tales\Hardy, Thomas, The Withered Arm, 1896 facsimile (42)",Page_001.tif,600.0,3006,4723,Page_001.tif,1,2550,4251
