Folder,Pages,Page Size (cm),Fit,Scale (%),Margin X (cm),Margin Y (cm),Row Gap (cm),Grid,Layout Image
"Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)",235,10.79x18.0,False,,,,,,
"Johnson, Samuel, Rasselas, 1960 facsimile (125)",125,11.7x18.0,False,,,,,,
"Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)",163,11.7x18.0,False,,,,,,
"Woolf, Virginia, A Room of One's Own, 1935 facsimile (172)",172,11.7x18.9,False,,,,,,
"Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296)",296,10.79x18.0,False,,,,,,
"Charles Dickens, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77)",77,11.7x16.19,False,,,,,,
"Charles Dickens, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49)",49,11.7x16.19,False,,,,,,
"Charles Dickens, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42)",42,11.7x16.19,True,95,9.98,9.55,1,9x5,D:\csv\mural_layouts\Charles_Dickens__Two_Stories__Mugby_Junction__A_Child_s_Dream_of_a_Star__facsimile__42__layout.png
"Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57)",58,11.7x17.1,False,,,,,,
"Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82)",82,11.7x17.1,False,,,,,,
"Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87)",87,11.7x17.1,False,,,,,,
"Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169)",169,11.7x17.1,False,,,,,,
"Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60)",60,10.79x18.0,False,,,,,,
"Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116)",116,10.79x18.0,False,,,,,,
"Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75)",75,10.79x18.0,False,,,,,,
"Hardy, Thomas, The Withered Arm, 1896 facsimile (42)",42,10.79x18.0,True,95,13.87,5.25,1,9x5,D:\csv\mural_layouts\Hardy__Thomas__The_Withered_Arm__1896_facsimile__42__layout.png
"Hardy, Thomas, Wessex Tales, 1896 facsimile (297)",297,10.79x18.0,False,,,,,,
"Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120)",120,10.79x18.0,False,,,,,,
"Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89)",89,10.79x18.0,False,,,,,,
"Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82)",82,10.79x18.0,False,,,,,,
"Joyce, James, Dubliners, complete, 1914 facsimile (278)",278,10.79x18.0,False,,,,,,
"Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287)",287,11.7x18.0,False,,,,,,
"Mansfield, Katherine, Prelude, 1921 facsimile (77)",77,11.7x18.0,False,,,,,,
"Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88)",88,11.7x18.0,False,,,,,,
"Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124)",124,11.7x18.0,False,,,,,,
