Author Prefix,Mural Folder,Page Count,Matched Filename,Shopify URL
Crane,"Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)",235,crane_stephen_the_red_badge_of_courage_1898_facsimile_235.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Crane_Stephen_The_Red_Badge_of_Courage_1898_facsimile_235.jpg?v=1759984956
Dickens,"Dickens, Charles, stories",0,dickens_charles_four_stories_captain_boldheart_mrs_orange_and_mrs_lemon_little_bebelle_the_story_of_the_goblins_who_stole_a_sexton_77.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Dickens_Charles_Four_Stories_Captain_Boldheart_Mrs_Orange_and_Mrs_Lemon_Little_Bebelle_The_Story_of_the_Goblins_who_Stole_a_Sexton_77.jpg?v=1759996246
Forster,"Forster, EM, stories",0,forster_em_3_stories_other_kingdom_the_curate_s_friend_the_road_from_colonus_1912_facsimile_82.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Forster_EM_3_stories_Other_Kingdom_The_Curate_s_Friend_The_Road_from_Colonus_1912_facsimile_82.jpg?v=1759984957
Hardy,"Hardy, Thomas, Wessex Tales",0,hardy_thomas_2_wessex_tales_an_imaginative_woman_and_the_three_strangers_1896_facsimile_60.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Hardy_Thomas_2_Wessex_Tales_An_Imaginative_Woman_and_The_Three_Strangers_1896_facsimile_60.jpg?v=1759984957
Johnson,"Johnson, Samuel, Rasselas, 1960 facsimile (125)",125,johnson_samuel_rasselas_1960_facsimile_125.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Johnson_Samuel_Rasselas_1960_facsimile_125.jpg?v=1759984956
Joyce,"Joyce, James, Dubliners short stories",0,joyce_james_3_stories_from_dubliners_a_mother_grace_the_dead_1914_facsimile_120.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Joyce_James_3_stories_from_Dubliners_A_Mother_Grace_The_Dead_1914_facsimile_120.jpg?v=1759984956
Mansfield,"Mansfield, Katherine, stories",0,mansfield_katherine_six_stories_from_bliss_including_title_story_1921_facsimile_124.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Mansfield_Katherine_Six_stories_from_Bliss_including_title_story_1921_facsimile_124.jpg?v=1759984956
Poe,"Poe, EA, poems and stories",0,poe_ea_the_oval_portrait_and_13_more_stories_including_the_black_cat_the_tell-tale_heart_and_the_pit_and_the_pendulum_1946_facsimile_161.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Poe_EA_The_Oval_Portrait_and_13_More_Stories_including_The_Black_Cat_the_Tell-Tale_Heart_and_the_Pit_and_the_Pendulum_1946_facsimile_161.jpg?v=1759984957
Saki,"Saki, HH Munro, stories",0,saki_hh_munro_beasts_and_super-beasts_including_the_she-wolf_the_boar-pig_laura_the_brogue_and_2_others_1939_facsimile_35.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Saki_HH_Munro_Beasts_and_Super-Beasts_including_The_She-Wolf_the_Boar-Pig_Laura_The_Brogue_and_2_others_1939_facsimile_35.jpg?v=1759996247
Wells,"Wells, HG, The Stolen Bacillus and Other Incidents",0,wells_hg_2_stories_from_the_collection_the_stolen_bacillus_triumphs_of_a_taxidermist_and_through_a_window_1895_facsimile_42.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wells_HG_2_Stories_from_the_collection_The_Stolen_Bacillus_Triumphs_of_a_Taxidermist_and_Through_a_Window_1895_facsimile_42.jpg?v=1759996246
Wilde,"Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)",163,wilde_oscar_three_stories_the_happy_prince_the_nightingale_and_the_rose_the_selfish_giant_1908_facsimile_49.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_Three_Stories_The_Happy_Prince_The_Nightingale_and_the_Rose_The_Selfish_Giant_1908_facsimile_49.jpg?v=1759996246
Wilde,"Wilde, Oscar, The Happy Prince and Other Stories",0,wilde_oscar_three_stories_the_happy_prince_the_nightingale_and_the_rose_the_selfish_giant_1908_facsimile_49.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_Three_Stories_The_Happy_Prince_The_Nightingale_and_the_Rose_The_Selfish_Giant_1908_facsimile_49.jpg?v=1759996246
Wodehouse,"Wodehouse, PG, Blandings Castle stories",0,wodehouse_pg_11_pg_wodehouse_stories_featuring_7_blandings_stories_and_4_mr_mulliner_stories_from_the_volume_blandings_castle_1935_facsimile_281.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wodehouse_PG_11_PG_Wodehouse_stories_featuring_7_Blandings_stories_and_4_Mr_Mulliner_stories_from_the_volume_Blandings_Castle_1935_facsimile_281.jpg?v=1759996246
Woolf,"Woolf, Virginia, A Room of One's Own, 1935 facsimile (172)",172,woolf_virginia_a_room_of_one_s_own_1935_facsimile_172.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Woolf_Virginia_A_Room_of_One_s_Own_1935_facsimile_172.jpg?v=1759984956
Woolf,"Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296)",296,woolf_virginia_mrs_dalloway_1925_facsimile_296.jpg,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Woolf_Virginia_Mrs_Dalloway_1925_facsimile_296.jpg?v=1759984956
