Folder,Title,Page Width (cm),Page Height (cm),Pages,Thumbnail,Handle
"D:\NormalizedModeFacsimiles\Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)","Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)",10.79,18.0,235,,"crane,-stephen,-the-red-badge-of-courage,-1898-facsimile-(235)"
"D:\NormalizedModeFacsimiles\Dickens, Charles, stories\Charles Dickens, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77)","Charles Dickens, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77)",11.7,16.19,77,,"charles-dickens,-four-stories,-captain-boldheart,-mrs-orange-and-mrs-lemon,-little-bebelle,-the-story-of-the-goblins-who-stole-a-sexton-(77)"
"D:\NormalizedModeFacsimiles\Dickens, Charles, stories\Charles Dickens, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49)","Charles Dickens, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49)",11.7,16.19,49,,"charles-dickens,-three-stories,-gone-astray,-william-tinkling,-the-magic-fishbone,-facsimile-(49)"
"D:\NormalizedModeFacsimiles\Dickens, Charles, stories\Charles Dickens, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42)","Charles Dickens, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42)",11.7,16.19,42,,"charles-dickens,-two-stories,-mugby-junction,-a-child's-dream-of-a-star,-facsimile-(42)"
"D:\NormalizedModeFacsimiles\Forster, EM, stories\Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57)","Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57)",11.7,17.1,58,,"forster,-em,-2-stories,-the-story-of-a-panic,-the-other-side-of-the-hedge,-1912-facsimile-(57)"
"D:\NormalizedModeFacsimiles\Forster, EM, stories\Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82)","Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82)",11.7,17.1,82,,"forster,-em,-3-stories,-other-kingdom,-the-curate's-friend,-the-road-from-colonus,-1912-facsimile-(82)"
"D:\NormalizedModeFacsimiles\Forster, EM, stories\Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87)","Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87)",11.7,17.1,87,,"forster,-em,-3-stories,-the-story-of-a-panic,-the-other-side-of-the-hedge,-the-celestial-omnibus,-1912-facsimile-(87)"
"D:\NormalizedModeFacsimiles\Forster, EM, stories\Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169)","Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169)",11.7,17.1,169,,"forster,-em,-the-celestial-omnibus,-complete,-6-stories,-1912-facsimile-(169)"
"D:\NormalizedModeFacsimiles\Hardy, Thomas, Wessex Tales\Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60)","Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60)",10.79,18.0,60,,"hardy,-thomas,-2-wessex-tales,-an-imaginative-woman,-and-the-three-strangers,-1896-facsimile-(60)"
"D:\NormalizedModeFacsimiles\Hardy, Thomas, Wessex Tales\Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116)","Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116)",10.79,18.0,116,,"hardy,-thomas,-2-wessex-tales,-the-withered-arm-and-the-distracted-preacher,-1896-facsimile--(116)"
"D:\NormalizedModeFacsimiles\Hardy, Thomas, Wessex Tales\Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75)","Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75)",10.79,18.0,75,,"hardy,-thomas,-the-distracted-preacher,-1896-facsimile--(75)"
"D:\NormalizedModeFacsimiles\Hardy, Thomas, Wessex Tales\Hardy, Thomas, The Withered Arm, 1896 facsimile (42)","Hardy, Thomas, The Withered Arm, 1896 facsimile (42)",10.79,18.0,42,,"hardy,-thomas,-the-withered-arm,-1896-facsimile-(42)"
"D:\NormalizedModeFacsimiles\Hardy, Thomas, Wessex Tales\Hardy, Thomas, Wessex Tales, 1896 facsimile (297)","Hardy, Thomas, Wessex Tales, 1896 facsimile (297)",10.79,18.0,297,,"hardy,-thomas,-wessex-tales,-1896-facsimile-(297)"
"D:\NormalizedModeFacsimiles\Johnson, Samuel, Rasselas, 1960 facsimile (125)","Johnson, Samuel, Rasselas, 1960 facsimile (125)",11.7,18.0,125,,"johnson,-samuel,-rasselas,-1960-facsimile-(125)"
"D:\NormalizedModeFacsimiles\Joyce, James, Dubliners short stories\Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120)","Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120)",10.79,18.0,120,,"joyce,-james,-3-stories-from-dubliners,-a-mother,-grace,-the-dead,-1914-facsimile-(120)"
"D:\NormalizedModeFacsimiles\Joyce, James, Dubliners short stories\Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89)","Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89)",10.79,18.0,89,,"joyce,-james,-5-stories-from-dubliners,-a-little-cloud,-counterparts,-clay,-a-painful-case,-ivy-day-in-the-committee-room,-1914-facsimile-(89)"
"D:\NormalizedModeFacsimiles\Joyce, James, Dubliners short stories\Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82)","Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82)",10.79,18.0,82,,"joyce,-james,-7-stories-from-dubliners,-the-sisters,-an-encounter,-araby,-eveline,-after-the-race,-two-gallants,-the-boarding-house,-1914-facsimile-(82)"
"D:\NormalizedModeFacsimiles\Joyce, James, Dubliners short stories\Joyce, James, Dubliners, complete, 1914 facsimile (278)","Joyce, James, Dubliners, complete, 1914 facsimile (278)",10.79,18.0,278,,"joyce,-james,-dubliners,-complete,-1914-facsimile-(278)"
"D:\NormalizedModeFacsimiles\Mansfield, Katherine, stories\Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287)","Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287)",11.7,18.0,287,,"mansfield,-katherine,-bliss-and-other-stories,-1921-facsimile-(287)"
"D:\NormalizedModeFacsimiles\Mansfield, Katherine, stories\Mansfield, Katherine, Prelude, 1921 facsimile (77)","Mansfield, Katherine, Prelude, 1921 facsimile (77)",11.7,18.0,77,,"mansfield,-katherine,-prelude,-1921-facsimile-(77)"
"D:\NormalizedModeFacsimiles\Mansfield, Katherine, stories\Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88)","Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88)",11.7,18.0,88,,"mansfield,-katherine,-seven-stories-from-bliss,-1921-facsimile-(88)"
"D:\NormalizedModeFacsimiles\Mansfield, Katherine, stories\Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124)","Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124)",11.7,18.0,124,,"mansfield,-katherine,-six-stories-from-bliss-(including-title-story),-1921-facsimile-(124)"
