Folder,Page Width (cm),Page Height (cm),Pages
"D:\NormalizedModeFacsimiles\Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)",10.79,18.0,235
"D:\NormalizedModeFacsimiles\Dickens, Charles, stories\Charles Dickens, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77)",11.7,16.19,77
"D:\NormalizedModeFacsimiles\Dickens, Charles, stories\Charles Dickens, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49)",11.7,16.19,49
"D:\NormalizedModeFacsimiles\Dickens, Charles, stories\Charles Dickens, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42)",11.7,16.19,42
"D:\NormalizedModeFacsimiles\Forster, EM, stories\Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57)",11.7,17.1,58
"D:\NormalizedModeFacsimiles\Forster, EM, stories\Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82)",11.7,17.1,82
"D:\NormalizedModeFacsimiles\Forster, EM, stories\Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87)",11.7,17.1,87
"D:\NormalizedModeFacsimiles\Forster, EM, stories\Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169)",11.7,17.1,169
"D:\NormalizedModeFacsimiles\Hardy, Thomas, Wessex Tales\Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60)",10.79,18.0,60
"D:\NormalizedModeFacsimiles\Hardy, Thomas, Wessex Tales\Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116)",10.79,18.0,116
"D:\NormalizedModeFacsimiles\Hardy, Thomas, Wessex Tales\Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75)",10.79,18.0,75
"D:\NormalizedModeFacsimiles\Hardy, Thomas, Wessex Tales\Hardy, Thomas, The Withered Arm, 1896 facsimile (42)",10.79,18.0,42
"D:\NormalizedModeFacsimiles\Hardy, Thomas, Wessex Tales\Hardy, Thomas, Wessex Tales, 1896 facsimile (297)",10.79,18.0,297
"D:\NormalizedModeFacsimiles\Johnson, Samuel, Rasselas, 1960 facsimile (125)",11.7,18.0,125
"D:\NormalizedModeFacsimiles\Joyce, James, Dubliners short stories\Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120)",10.79,18.0,120
"D:\NormalizedModeFacsimiles\Joyce, James, Dubliners short stories\Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89)",10.79,18.0,89
"D:\NormalizedModeFacsimiles\Joyce, James, Dubliners short stories\Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82)",10.79,18.0,82
"D:\NormalizedModeFacsimiles\Joyce, James, Dubliners short stories\Joyce, James, Dubliners, complete, 1914 facsimile (278)",10.79,18.0,278
"D:\NormalizedModeFacsimiles\Mansfield, Katherine, stories\Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287)",11.7,18.0,287
"D:\NormalizedModeFacsimiles\Mansfield, Katherine, stories\Mansfield, Katherine, Prelude, 1921 facsimile (77)",11.7,18.0,77
"D:\NormalizedModeFacsimiles\Mansfield, Katherine, stories\Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88)",11.7,18.0,88
"D:\NormalizedModeFacsimiles\Mansfield, Katherine, stories\Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124)",11.7,18.0,124
"D:\NormalizedModeFacsimiles\Poe, EA, poems and stories\Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288)",10.79,18.0,288
"D:\NormalizedModeFacsimiles\Poe, EA, poems and stories\Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77)",10.79,18.0,77
"D:\NormalizedModeFacsimiles\Poe, EA, poems and stories\Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127)",10.79,18.0,127
"D:\NormalizedModeFacsimiles\Poe, EA, poems and stories\Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161)",10.79,18.0,161
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81)",11.7,17.1,81
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182)",11.7,17.1,182
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85)",11.7,17.1,85
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki Stories, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35)",11.7,17.1,35
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki stories, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103)",11.7,17.1,105
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki stories, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153)",11.7,17.1,153
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki stories, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50)",11.7,17.1,50
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki stories, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120)",11.7,17.1,120
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki stories, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167)",11.7,17.1,167
"D:\NormalizedModeFacsimiles\Voltaire, Candide\Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63)",10.79,18.0,63
"D:\NormalizedModeFacsimiles\Voltaire, Candide\Voltaire, Candide, facsimile c. 1950 (244)",10.79,18.0,244
"D:\NormalizedModeFacsimiles\Voltaire, Candide\Voltaire, Candide, Part One, facsimile c. 1950 (159)",10.79,18.0,159
"D:\NormalizedModeFacsimiles\Wells, HG The Stolen Bacillus and Other Incidents\Wells HG 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31)",10.79,18.0,31
"D:\NormalizedModeFacsimiles\Wells, HG The Stolen Bacillus and Other Incidents\Wells HG 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55)",10.79,18.0,55
"D:\NormalizedModeFacsimiles\Wells, HG The Stolen Bacillus and Other Incidents\Wells HG 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42)",10.79,18.0,42
"D:\NormalizedModeFacsimiles\Wells, HG The Stolen Bacillus and Other Incidents\Wells HG 4 Stories from the collection The Stolen Bacillus, the title story, In the Avu Observatory, Triumphs of a Taxidermist and Through a Window,1895 facsimile (95)",10.79,18.0,95
"D:\NormalizedModeFacsimiles\Wells, HG The Stolen Bacillus and Other Incidents\Wells, HG 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186)",10.79,18.0,186
"D:\NormalizedModeFacsimiles\Wells, HG The Stolen Bacillus and Other Incidents\Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65)",10.79,18.0,65
"D:\NormalizedModeFacsimiles\Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)",11.7,18.0,163
"D:\NormalizedModeFacsimiles\Wilde, Oscar, The Happy Prince and Other Stories\Oscar Wilde, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118)",10.79,18.0,118
"D:\NormalizedModeFacsimiles\Wilde, Oscar, The Happy Prince and Other Stories\Oscar Wilde, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81)",10.79,18.0,81
"D:\NormalizedModeFacsimiles\Wilde, Oscar, The Happy Prince and Other Stories\Oscar Wilde, The Happy Prince, 1908 facsimile (23)",10.79,18.0,23
"D:\NormalizedModeFacsimiles\Wilde, Oscar, The Happy Prince and Other Stories\Oscar Wilde, The Nightingale and the Rose, 1908 facsimile (15)",10.79,18.0,15
