Slug,Product Title,Local Image Exists,Shopify Image Count,Low-Res Shopify Image
crane-stephen-the-red-badge-of-courage-1898-facsimile-235,"Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)",✅,1,✅
dickens-charles-four-stories-captain-boldheart-mrs-orange-and-mrs-lemon-little-bebelle-the-story-of-the-goblins-who-stole-a-sexton-77,"Dickens, Charles, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77)",✅,1,✅
dickens-charles-three-stories-gone-astray-william-tinkling-the-magic-fishbone-facsimile-49,"Dickens, Charles, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49)",✅,1,✅
dickens-charles-two-stories-mugby-junction-a-childs-dream-of-a-star-facsimile-42,"Dickens, Charles, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42)",✅,1,✅
forster-em-2-stories-the-story-of-a-panic-the-other-side-of-the-hedge-1912-facsimile-57,"Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57)",✅,1,✅
forster-em-3-stories-other-kingdom-the-curates-friend-the-road-from-colonus-1912-facsimile-82,"Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82)",✅,1,✅
forster-em-3-stories-the-story-of-a-panic-the-other-side-of-the-hedge-the-celestial-omnibus-1912-facsimile-87,"Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87)",✅,1,✅
forster-em-the-celestial-omnibus-complete-6-stories-1912-facsimile-169,"Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169)",✅,1,✅
hardy-thomas-2-wessex-tales-an-imaginative-woman-and-the-three-strangers-1896-facsimile-60,"Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60)",✅,1,✅
hardy-thomas-2-wessex-tales-the-withered-arm-and-the-distracted-preacher-1896-facsimile-116,"Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116)",✅,1,✅
