Slug,Shopify Image URL
crane-stephen-the-red-badge-of-courage-1898-facsimile-235,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/crane-stephen-the-red-badge-of-courage-1898-facsimile-235.jpg?v=1760530286
dickens-charles-four-stories-captain-boldheart-mrs-orange-and-mrs-lemon-little-bebelle-the-story-of-the-goblins-who-stole-a-sexton-77,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/dickens-charles-four-stories-captain-boldheart-mrs-orange-and-mrs-lemon-little-bebelle-the-story-of-the-goblins-who-stole-a-sexton-77.jpg?v=1760530289
dickens-charles-three-stories-gone-astray-william-tinkling-the-magic-fishbone-facsimile-49,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/dickens-charles-three-stories-gone-astray-william-tinkling-the-magic-fishbone-facsimile-49.jpg?v=1760530293
dickens-charles-two-stories-mugby-junction-a-childs-dream-of-a-star-facsimile-42,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/dickens-charles-two-stories-mugby-junction-a-childs-dream-of-a-star-facsimile-42.jpg?v=1760530297
forster-em-2-stories-the-story-of-a-panic-the-other-side-of-the-hedge-1912-facsimile-57,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/forster-em-2-stories-the-story-of-a-panic-the-other-side-of-the-hedge-1912-facsimile-57.jpg?v=1760530300
forster-em-3-stories-other-kingdom-the-curates-friend-the-road-from-colonus-1912-facsimile-82,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/forster-em-3-stories-other-kingdom-the-curates-friend-the-road-from-colonus-1912-facsimile-82.jpg?v=1760530303
forster-em-3-stories-the-story-of-a-panic-the-other-side-of-the-hedge-the-celestial-omnibus-1912-facsimile-87,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/forster-em-3-stories-the-story-of-a-panic-the-other-side-of-the-hedge-the-celestial-omnibus-1912-facsimile-87.jpg?v=1760530306
forster-em-the-celestial-omnibus-complete-6-stories-1912-facsimile-169,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/forster-em-the-celestial-omnibus-complete-6-stories-1912-facsimile-169.jpg?v=1760530310
hardy-thomas-2-wessex-tales-an-imaginative-woman-and-the-three-strangers-1896-facsimile-60,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/hardy-thomas-2-wessex-tales-an-imaginative-woman-and-the-three-strangers-1896-facsimile-60.jpg?v=1760530313
hardy-thomas-2-wessex-tales-the-withered-arm-and-the-distracted-preacher-1896-facsimile-116,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/hardy-thomas-2-wessex-tales-the-withered-arm-and-the-distracted-preacher-1896-facsimile-116.jpg?v=1760530316
